"id","value","name","countryId"
"2008UENO01",53,"Shuto Ueno (上野柊斗)","Japan"
"2010HONG07",53,"Xusheng Hong (洪旭升)","China"
"2010SCHI01",53,"Reinier Schippers","Netherlands"
"2010WANG53",53,"Jiayu Wang (王佳宇)","China"
"2011MOLL01",53,"James Molloy","United Kingdom"
"2006MERT01",52,"Jim Mertens","USA"
"2008VENK01",52,"Sreeram Venkatarao","USA"
"2009KOBA02",52,"Yuuki Kobayashi (古林祐輝)","Japan"
"2009ROTA01",52,"Marco Rota","Italy"
"2010BURN01",52,"Collin Burns","USA"
"2011FERA01",52,"Joshua Feran","USA"
"2012KRIS11",52,"Michael Kristel","Germany"
"2013KLEM01",52,"Lauren Klemz","USA"
"2005SUSE01",51,"Yuji Suse (巣瀬雄史)","Japan"
"2006TSAI03",51,"Yueh-Lin Tsai (蔡岳霖)","Taiwan"
"2007CHUE01",51,"Chan Tak Chuen (陳德泉)","Hong Kong"
"2008CLAR01",51,"Thompson Clarke","Canada"
"2008LIMS01",51,"Simon Lim","Philippines"
"2008OMYO01",51,"Sanae Yamashita (山下佐苗)","Japan"
"2008OMYO01",51,"Sanae Omyo (大名佐苗)","Japan"
"2009GUIL01",51,"Kevin Guillaumond","France"
"2009PARE02",51,"Luis J. Iáñez","Spain"
"2010LANE02",51,"Mitchell Lane","USA"
"2010MALL01",51,"Justin Mallari","USA"
